object_type,swmm_id,source_tab,source_row,source_id,notes
node,J_1,HYDROLOGY,13,1,junction from HYDROLOGY B
node,J_2,HYDROLOGY,16,2,junction from HYDROLOGY B
node,J_3,HYDROLOGY,18,3,junction from HYDROLOGY B
node,J_4,HYDROLOGY,23,4,junction from HYDROLOGY B
node,J_4_1,HYDROLOGY,24,4.1,junction from HYDROLOGY B
node,J_5,HYDROLOGY,26,5,junction from HYDROLOGY B
node,J_6,HYDROLOGY,28,6,junction from HYDROLOGY B
node,J_6_1,HYDROLOGY,30,6.1,junction from HYDROLOGY B
node,J_7,HYDROLOGY,33,7,junction from HYDROLOGY B
node,J_7_1,HYDROLOGY,34,7.1,junction from HYDROLOGY B
node,J_8,HYDROLOGY,38,8,junction from HYDROLOGY B
node,J_9,HYDROLOGY,39,9,junction from HYDROLOGY B
node,J_11,HYDROLOGY,41,11,junction from HYDROLOGY B
node,J_12,HYDROLOGY,44,12,junction from HYDROLOGY B
node,J_13,HYDROLOGY,46,13,junction from HYDROLOGY B
node,J_14,HYDROLOGY,49,14,junction from HYDROLOGY B
node,J_15,HYDROLOGY,50,15,junction from HYDROLOGY B
node,J_16,HYDROLOGY,54,16,junction from HYDROLOGY B
node,J_17,HYDROLOGY,58,17,junction from HYDROLOGY B
node,J_18,HYDROLOGY,59,18,junction from HYDROLOGY B
node,J_19,HYDROLOGY,63,19,junction from HYDROLOGY B
node,J_20,HYDROLOGY,64,20,junction from HYDROLOGY B
node,J_21,HYDROLOGY,66,21,junction from HYDROLOGY B
node,J_22,HYDROLOGY,70,22,junction from HYDROLOGY B
node,J_23,HYDROLOGY,71,23,junction from HYDROLOGY B
node,J_24,HYDROLOGY,75,24,junction from HYDROLOGY B
node,J_25,HYDROLOGY,76,25,junction from HYDROLOGY B
node,J_26,HYDROLOGY,78,26,junction from HYDROLOGY B
node,J_26_1,HYDROLOGY,81,26.1,junction from HYDROLOGY B
node,J_27,HYDROLOGY,83,27,junction from HYDROLOGY B
node,J_27_1,HYDROLOGY,85,27.1,junction from HYDROLOGY B
node,J_28,HYDROLOGY,87,28,junction from HYDROLOGY B
node,J_29,HYDROLOGY,88,29,junction from HYDROLOGY B
node,J_30,HYDROLOGY,91,30,junction from HYDROLOGY B
node,J_31,HYDROLOGY,92,31,junction from HYDROLOGY B
node,J_32,HYDROLOGY,96,32,junction from HYDROLOGY B
node,J_33,HYDROLOGY,99,33,junction from HYDROLOGY B
node,J_34,HYDROLOGY,100,34,junction from HYDROLOGY B
node,J_35,HYDROLOGY,102,35,junction from HYDROLOGY B
node,J_37,HYDROLOGY,106,37,junction from HYDROLOGY B
node,J_38,HYDROLOGY,110,38,junction from HYDROLOGY B
node,J_39,HYDROLOGY,111,39,junction from HYDROLOGY B
node,J_40,HYDROLOGY,114,40,junction from HYDROLOGY B
node,J_41,HYDROLOGY,117,41,junction from HYDROLOGY B
node,J_42,HYDROLOGY,118,42,junction from HYDROLOGY B
node,J_43,HYDROLOGY,121,43,junction from HYDROLOGY B
node,J_44,HYDROLOGY,123,44,junction from HYDROLOGY B
node,J_45,HYDROLOGY,125,45,junction from HYDROLOGY B
node,J_46,HYDROLOGY,127,46,junction from HYDROLOGY B
